,GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,isSASWin
20383,2016-05-12,41500236,Final,1610612760,1610612759,2015,1610612760,113.0,0.47100000000000003,0.871,0.273,21.0,50.0,1610612759,99.0,0.43,0.813,0.353,19.0,40.0,1,0
20386,2016-05-10,41500235,Final,1610612759,1610612760,2015,1610612759,91.0,0.39799999999999996,0.765,0.444,19.0,36.0,1610612760,95.0,0.436,0.769,0.35,18.0,54.0,0,0
20390,2016-05-08,41500234,Final,1610612760,1610612759,2015,1610612760,111.0,0.506,0.759,0.391,23.0,40.0,1610612759,97.0,0.47100000000000003,0.938,0.16699999999999998,12.0,34.0,1,0
20394,2016-05-06,41500233,Final,1610612760,1610612759,2015,1610612760,96.0,0.415,0.9,0.33299999999999996,14.0,42.0,1610612759,100.0,0.434,0.706,0.526,19.0,37.0,0,1
20400,2016-05-02,41500232,Final,1610612759,1610612760,2015,1610612759,97.0,0.426,0.846,0.261,19.0,37.0,1610612760,98.0,0.48100000000000004,0.81,0.263,16.0,48.0,0,0
20404,2016-04-30,41500231,Final,1610612759,1610612760,2015,1610612759,124.0,0.607,0.722,0.6,39.0,43.0,1610612760,92.0,0.41200000000000003,0.762,0.261,23.0,38.0,1,1
20417,2016-04-24,41500154,Final,1610612763,1610612759,2015,1610612763,95.0,0.449,0.741,0.385,18.0,37.0,1610612759,116.0,0.494,0.8390000000000001,0.455,21.0,41.0,0,1
20427,2016-04-22,41500153,Final,1610612763,1610612759,2015,1610612763,87.0,0.415,0.789,0.222,17.0,48.0,1610612759,96.0,0.455,0.737,0.462,24.0,39.0,0,1
20435,2016-04-19,41500152,Final,1610612759,1610612763,2015,1610612759,94.0,0.47,0.821,0.529,19.0,44.0,1610612763,68.0,0.326,0.556,0.133,14.0,44.0,1,1
20441,2016-04-17,41500151,Final,1610612759,1610612763,2015,1610612759,106.0,0.519,0.9229999999999999,0.455,22.0,44.0,1610612763,74.0,0.392,0.667,0.444,17.0,35.0,1,1
20453,2016-04-13,21501223,Final,1610612742,1610612759,2015,1610612742,91.0,0.40299999999999997,0.81,0.308,20.0,41.0,1610612759,96.0,0.473,0.769,0.261,24.0,42.0,0,1
20464,2016-04-12,21501215,Final,1610612759,1610612760,2015,1610612759,102.0,0.425,0.75,0.28600000000000003,15.0,42.0,1610612760,98.0,0.402,0.88,0.24,18.0,55.0,1,1
20482,2016-04-10,21501201,Final,1610612759,1610612744,2015,1610612759,86.0,0.37799999999999995,0.789,0.17600000000000002,21.0,53.0,1610612744,92.0,0.442,0.778,0.37,19.0,46.0,0,0
20498,2016-04-08,21501186,Final,1610612743,1610612759,2015,1610612743,102.0,0.465,0.8420000000000001,0.273,21.0,47.0,1610612759,98.0,0.424,0.821,0.214,20.0,45.0,1,0
20504,2016-04-07,21501177,Final,1610612744,1610612759,2015,1610612744,112.0,0.542,0.909,0.48,33.0,43.0,1610612759,101.0,0.488,0.696,0.43799999999999994,28.0,32.0,1,0
20520,2016-04-05,21501161,Final,1610612762,1610612759,2015,1610612762,86.0,0.47100000000000003,0.81,0.294,13.0,40.0,1610612759,88.0,0.444,0.895,0.41200000000000003,16.0,32.0,0,1
20537,2016-04-02,21501140,Final,1610612759,1610612761,2015,1610612759,102.0,0.455,0.9,0.25,28.0,47.0,1610612761,95.0,0.5,0.9,0.33299999999999996,18.0,32.0,1,1
20561,2016-03-30,21501118,Final,1610612759,1610612740,2015,1610612759,100.0,0.48,0.727,0.5,23.0,38.0,1610612740,92.0,0.45,0.667,0.47100000000000003,27.0,44.0,1,1
20574,2016-03-28,21501100,Final,1610612763,1610612759,2015,1610612763,87.0,0.39799999999999996,0.625,0.316,19.0,39.0,1610612759,101.0,0.514,0.733,0.33299999999999996,23.0,43.0,0,1
20592,2016-03-26,21501088,Final,1610612760,1610612759,2015,1610612760,111.0,0.518,0.889,0.35,19.0,47.0,1610612759,92.0,0.43,0.8240000000000001,0.267,14.0,34.0,1,0
20601,2016-03-25,21501078,Final,1610612759,1610612763,2015,1610612759,110.0,0.5710000000000001,0.833,0.389,25.0,37.0,1610612763,104.0,0.53,0.6920000000000001,0.389,23.0,31.0,1,1
20617,2016-03-23,21501063,Final,1610612759,1610612748,2015,1610612759,112.0,0.519,0.833,0.5710000000000001,26.0,44.0,1610612748,88.0,0.48100000000000004,0.583,0.5,23.0,36.0,1,1
20626,2016-03-21,21501043,Final,1610612766,1610612759,2015,1610612766,91.0,0.402,0.684,0.42100000000000004,18.0,46.0,1610612759,88.0,0.43,0.769,0.235,23.0,47.0,1,0
20649,2016-03-19,21501036,Final,1610612759,1610612744,2015,1610612759,87.0,0.41,0.833,0.381,17.0,53.0,1610612744,79.0,0.37799999999999995,0.8,0.25,24.0,37.0,1,1
20664,2016-03-17,21501018,Final,1610612759,1610612757,2015,1610612759,118.0,0.523,0.909,0.5,35.0,37.0,1610612757,110.0,0.43799999999999994,0.733,0.455,23.0,49.0,1,1
20679,2016-03-15,21501001,Final,1610612759,1610612746,2015,1610612759,108.0,0.537,0.75,0.4,25.0,42.0,1610612746,87.0,0.46399999999999997,0.682,0.42100000000000004,15.0,27.0,1,1
20701,2016-03-12,21500979,Final,1610612759,1610612760,2015,1610612759,93.0,0.4,0.84,0.16699999999999998,17.0,44.0,1610612760,85.0,0.38299999999999995,0.84,0.111,18.0,56.0,1,1
20716,2016-03-10,21500960,Final,1610612759,1610612741,2015,1610612759,109.0,0.473,0.789,0.353,29.0,40.0,1610612741,101.0,0.45299999999999996,0.9229999999999999,0.5,23.0,50.0,1,1
20729,2016-03-08,21500945,Final,1610612750,1610612759,2015,1610612750,91.0,0.456,0.789,0.267,18.0,35.0,1610612759,116.0,0.5529999999999999,0.9470000000000001,0.21100000000000002,28.0,46.0,0,1
20736,2016-03-07,21500939,Final,1610612754,1610612759,2015,1610612754,99.0,0.41,0.9329999999999999,0.43799999999999994,19.0,48.0,1610612759,91.0,0.354,0.8640000000000001,0.14300000000000002,15.0,52.0,1,0
20754,2016-03-05,21500928,Final,1610612759,1610612758,2015,1610612759,104.0,0.494,0.8420000000000001,0.348,31.0,46.0,1610612758,94.0,0.457,0.667,0.375,21.0,33.0,1,1
20767,2016-03-03,21500909,Final,1610612740,1610612759,2015,1610612740,86.0,0.39299999999999996,1.0,0.33299999999999996,23.0,41.0,1610612759,94.0,0.444,0.9329999999999999,0.381,27.0,49.0,0,1
20778,2016-03-02,21500905,Final,1610612759,1610612765,2015,1610612759,97.0,0.512,0.889,0.214,25.0,41.0,1610612765,81.0,0.397,0.565,0.316,19.0,42.0,1,1
20804,2016-02-27,21500872,Final,1610612745,1610612759,2015,1610612745,94.0,0.41700000000000004,0.727,0.32,19.0,39.0,1610612759,104.0,0.48700000000000004,0.7859999999999999,0.42100000000000004,24.0,43.0,0,1
20822,2016-02-25,21500860,Final,1610612762,1610612759,2015,1610612762,78.0,0.429,0.75,0.17600000000000002,15.0,31.0,1610612759,96.0,0.48100000000000004,0.917,0.5,17.0,43.0,0,1
20832,2016-02-24,21500854,Final,1610612758,1610612759,2015,1610612758,92.0,0.406,0.5329999999999999,0.33299999999999996,27.0,44.0,1610612759,108.0,0.518,0.8,0.42100000000000004,26.0,50.0,0,1
20848,2016-02-21,21500826,Final,1610612756,1610612759,2015,1610612756,111.0,0.462,0.727,0.375,26.0,46.0,1610612759,118.0,0.524,0.647,0.625,23.0,42.0,0,1
20872,2016-02-19,21500818,Final,1610612747,1610612759,2015,1610612747,113.0,0.494,0.885,0.455,20.0,36.0,1610612759,119.0,0.545,0.9440000000000001,0.5,30.0,39.0,0,1
20875,2016-02-18,21500804,Final,1610612746,1610612759,2015,1610612746,105.0,0.5,0.75,0.48,23.0,45.0,1610612759,86.0,0.42200000000000004,0.8,0.235,19.0,33.0,1,0
20879,2016-02-10,21500790,Final,1610612753,1610612759,2015,1610612753,96.0,0.40700000000000003,0.875,0.4,26.0,50.0,1610612759,98.0,0.4270000000000001,0.9329999999999999,0.4,24.0,44.0,0,1
20890,2016-02-09,21500784,Final,1610612748,1610612759,2015,1610612748,101.0,0.5710000000000001,0.708,0.33299999999999996,21.0,31.0,1610612759,119.0,0.528,0.731,0.429,25.0,43.0,0,1
20916,2016-02-06,21500767,Final,1610612759,1610612747,2015,1610612759,106.0,0.44299999999999995,0.8,0.33299999999999996,27.0,51.0,1610612747,102.0,0.395,0.889,0.33299999999999996,19.0,46.0,1,1
20928,2016-02-05,21500759,Final,1610612742,1610612759,2015,1610612742,90.0,0.452,0.778,0.2,17.0,36.0,1610612759,116.0,0.513,0.88,0.545,19.0,42.0,0,1
20940,2016-02-03,21500742,Final,1610612759,1610612740,2015,1610612759,110.0,0.519,0.9440000000000001,0.6,30.0,36.0,1610612740,97.0,0.456,0.857,0.158,21.0,45.0,1,1
20954,2016-02-01,21500726,Final,1610612759,1610612753,2015,1610612759,107.0,0.513,0.857,0.375,27.0,42.0,1610612753,92.0,0.406,0.818,0.294,19.0,51.0,1,1
20971,2016-01-30,21500713,Final,1610612739,1610612759,2015,1610612739,117.0,0.5489999999999999,0.857,0.391,24.0,43.0,1610612759,103.0,0.494,0.81,0.33299999999999996,20.0,32.0,1,0
20992,2016-01-27,21500689,Final,1610612759,1610612745,2015,1610612759,130.0,0.556,0.857,0.522,34.0,49.0,1610612745,99.0,0.384,0.6729999999999999,0.267,14.0,40.0,1,1
21011,2016-01-25,21500675,Final,1610612744,1610612759,2015,1610612744,120.0,0.518,0.84,0.423,31.0,45.0,1610612759,90.0,0.419,0.742,0.35700000000000004,21.0,38.0,1,0
21032,2016-01-22,21500653,Final,1610612747,1610612759,2015,1610612747,95.0,0.452,0.722,0.375,19.0,45.0,1610612759,108.0,0.506,0.846,0.524,26.0,35.0,0,1
21037,2016-01-21,21500644,Final,1610612756,1610612759,2015,1610612756,89.0,0.395,0.826,0.33299999999999996,18.0,43.0,1610612759,117.0,0.488,0.857,0.643,24.0,43.0,0,1
21065,2016-01-17,21500612,Final,1610612759,1610612742,2015,1610612759,112.0,0.467,0.821,0.25,22.0,51.0,1610612742,83.0,0.358,0.76,0.261,20.0,45.0,1,1
21088,2016-01-14,21500590,Final,1610612759,1610612739,2015,1610612759,99.0,0.45799999999999996,0.818,0.294,17.0,45.0,1610612739,95.0,0.46299999999999997,0.818,0.385,15.0,43.0,1,1
21102,2016-01-12,21500570,Final,1610612765,1610612759,2015,1610612765,99.0,0.418,0.654,0.261,22.0,41.0,1610612759,109.0,0.48200000000000004,0.815,0.35700000000000004,20.0,49.0,0,1
21109,2016-01-11,21500566,Final,1610612751,1610612759,2015,1610612751,79.0,0.452,0.846,0.16699999999999998,15.0,30.0,1610612759,106.0,0.537,0.737,0.308,27.0,40.0,0,1
21134,2016-01-08,21500546,Final,1610612759,1610612752,2015,1610612759,100.0,0.441,0.8240000000000001,0.308,23.0,49.0,1610612752,99.0,0.418,0.8240000000000001,0.429,19.0,44.0,1,1
21149,2016-01-06,21500532,Final,1610612759,1610612762,2015,1610612759,123.0,0.605,0.769,0.429,34.0,38.0,1610612762,98.0,0.46799999999999997,0.9440000000000001,0.389,21.0,34.0,1,1
21162,2016-01-04,21500516,Final,1610612749,1610612759,2015,1610612749,98.0,0.48100000000000004,0.7,0.25,23.0,35.0,1610612759,123.0,0.544,0.8,0.45,32.0,44.0,0,1
21179,2016-01-02,21500502,Final,1610612759,1610612745,2015,1610612759,121.0,0.523,0.9470000000000001,0.542,31.0,39.0,1610612745,103.0,0.5,0.606,0.409,26.0,37.0,1,1
21201,2015-12-30,21500481,Final,1610612759,1610612756,2015,1610612759,112.0,0.5660000000000001,0.606,0.429,26.0,46.0,1610612756,79.0,0.395,0.556,0.278,18.0,36.0,1,1
21216,2015-12-28,21500465,Final,1610612759,1610612750,2015,1610612759,101.0,0.514,0.7859999999999999,0.294,25.0,36.0,1610612750,95.0,0.47600000000000003,0.583,0.273,25.0,32.0,1,1
21233,2015-12-26,21500450,Final,1610612759,1610612743,2015,1610612759,101.0,0.48100000000000004,0.941,0.7,21.0,41.0,1610612743,86.0,0.442,0.833,0.278,25.0,36.0,1,1
21240,2015-12-25,21500439,Final,1610612745,1610612759,2015,1610612745,88.0,0.4320000000000001,0.654,0.467,23.0,42.0,1610612759,84.0,0.409,0.875,0.25,24.0,47.0,1,0
21250,2015-12-23,21500431,Final,1610612750,1610612759,2015,1610612750,83.0,0.41700000000000004,0.8,0.3,19.0,31.0,1610612759,108.0,0.537,0.7140000000000001,0.41700000000000004,24.0,47.0,0,1
21265,2015-12-21,21500416,Final,1610612759,1610612754,2015,1610612759,106.0,0.517,0.889,0.3,27.0,45.0,1610612754,92.0,0.42200000000000004,0.6,0.368,21.0,48.0,1,1
21287,2015-12-18,21500393,Final,1610612759,1610612746,2015,1610612759,115.0,0.494,0.792,0.526,25.0,44.0,1610612746,107.0,0.5,0.625,0.41700000000000004,23.0,37.0,1,1
21303,2015-12-16,21500379,Final,1610612759,1610612764,2015,1610612759,114.0,0.53,0.7829999999999999,0.364,29.0,43.0,1610612764,95.0,0.41700000000000004,0.88,0.2,22.0,38.0,1,1
21318,2015-12-14,21500364,Final,1610612759,1610612762,2015,1610612759,118.0,0.56,0.9259999999999999,0.429,24.0,48.0,1610612762,81.0,0.405,0.8240000000000001,0.273,18.0,32.0,1,1
21328,2015-12-12,21500347,Final,1610612737,1610612759,2015,1610612737,78.0,0.375,0.813,0.20800000000000002,21.0,33.0,1610612759,103.0,0.486,0.955,0.5,26.0,49.0,0,1
21343,2015-12-11,21500342,Final,1610612759,1610612747,2015,1610612759,109.0,0.537,0.6,0.429,26.0,49.0,1610612747,87.0,0.409,0.6,0.36,20.0,36.0,1,1
21353,2015-12-09,21500323,Final,1610612761,1610612759,2015,1610612761,97.0,0.578,0.909,0.3,23.0,34.0,1610612759,94.0,0.447,0.792,0.28,23.0,35.0,1,0
21366,2015-12-07,21500305,Final,1610612755,1610612759,2015,1610612755,68.0,0.34700000000000003,0.5710000000000001,0.16699999999999998,14.0,31.0,1610612759,119.0,0.618,0.84,0.364,32.0,47.0,0,1
21386,2015-12-05,21500296,Final,1610612759,1610612738,2015,1610612759,108.0,0.53,0.682,0.294,26.0,47.0,1610612738,105.0,0.45299999999999996,0.682,0.414,22.0,39.0,1,1
21398,2015-12-03,21500280,Final,1610612763,1610612759,2015,1610612763,83.0,0.375,0.84,0.125,19.0,37.0,1610612759,103.0,0.5,0.722,0.556,27.0,48.0,0,1
21408,2015-12-02,21500275,Final,1610612759,1610612749,2015,1610612759,95.0,0.41100000000000003,0.7,0.33299999999999996,25.0,54.0,1610612749,70.0,0.33299999999999996,0.833,0.214,17.0,44.0,1,1
21419,2015-11-30,21500257,Final,1610612741,1610612759,2015,1610612741,92.0,0.43,0.6,0.375,25.0,51.0,1610612759,89.0,0.41100000000000003,0.722,0.14300000000000002,20.0,47.0,1,0
21435,2015-11-28,21500242,Final,1610612759,1610612737,2015,1610612759,108.0,0.47100000000000003,0.95,0.529,25.0,49.0,1610612737,88.0,0.425,0.615,0.231,28.0,43.0,1,1
21447,2015-11-27,21500235,Final,1610612743,1610612759,2015,1610612743,80.0,0.40299999999999997,0.846,0.35,17.0,37.0,1610612759,91.0,0.48,0.7859999999999999,0.364,22.0,42.0,0,1
21460,2015-11-25,21500224,Final,1610612759,1610612742,2015,1610612759,88.0,0.40700000000000003,0.737,0.28600000000000003,23.0,52.0,1610612742,83.0,0.41,0.75,0.273,21.0,46.0,1,1
21474,2015-11-23,21500207,Final,1610612759,1610612756,2015,1610612759,98.0,0.512,0.5,0.45,21.0,38.0,1610612756,84.0,0.466,0.9,0.368,23.0,37.0,1,1
21488,2015-11-21,21500195,Final,1610612759,1610612763,2015,1610612759,92.0,0.47200000000000003,0.773,0.33299999999999996,20.0,40.0,1610612763,82.0,0.4320000000000001,1.0,0.111,19.0,35.0,1,1
21493,2015-11-20,21500182,Final,1610612740,1610612759,2015,1610612740,104.0,0.455,0.941,0.364,26.0,53.0,1610612759,90.0,0.405,0.813,0.529,22.0,43.0,1,0
21510,2015-11-18,21500172,Final,1610612759,1610612743,2015,1610612759,109.0,0.488,0.8,0.5,33.0,50.0,1610612743,98.0,0.38799999999999996,0.9440000000000001,0.33299999999999996,25.0,50.0,1,1
21524,2015-11-16,21500156,Final,1610612759,1610612757,2015,1610612759,93.0,0.4270000000000001,0.769,0.304,29.0,47.0,1610612757,80.0,0.413,0.846,0.368,15.0,39.0,1,1
21537,2015-11-14,21500142,Final,1610612759,1610612755,2015,1610612759,92.0,0.38799999999999996,0.84,0.313,23.0,54.0,1610612755,83.0,0.402,0.818,0.364,15.0,41.0,1,1
21564,2015-11-11,21500123,Final,1610612757,1610612759,2015,1610612757,101.0,0.44299999999999995,0.609,0.409,26.0,36.0,1610612759,113.0,0.561,0.778,0.467,27.0,42.0,0,1
21576,2015-11-09,21500103,Final,1610612758,1610612759,2015,1610612758,88.0,0.405,0.684,0.368,25.0,42.0,1610612759,106.0,0.529,0.727,0.261,34.0,46.0,0,1
21589,2015-11-07,21500090,Final,1610612759,1610612766,2015,1610612759,114.0,0.556,0.652,0.429,35.0,42.0,1610612766,94.0,0.466,0.645,0.316,15.0,33.0,1,1
21609,2015-11-04,21500061,Final,1610612764,1610612759,2015,1610612764,102.0,0.483,0.7140000000000001,0.348,27.0,33.0,1610612759,99.0,0.457,0.9,0.318,21.0,49.0,1,0
21627,2015-11-02,21500048,Final,1610612752,1610612759,2015,1610612752,84.0,0.36,0.762,0.308,17.0,49.0,1610612759,94.0,0.494,0.706,0.308,21.0,45.0,0,1
21633,2015-11-01,21500040,Final,1610612738,1610612759,2015,1610612738,87.0,0.35700000000000004,0.7859999999999999,0.207,21.0,45.0,1610612759,95.0,0.434,0.72,0.263,22.0,51.0,0,1
21652,2015-10-30,21500028,Final,1610612759,1610612751,2015,1610612759,102.0,0.465,1.0,0.409,23.0,56.0,1610612751,75.0,0.40299999999999997,0.5329999999999999,0.313,17.0,32.0,1,1
21669,2015-10-28,21500013,Final,1610612760,1610612759,2015,1610612760,112.0,0.488,0.955,0.368,21.0,45.0,1610612759,106.0,0.484,0.846,0.33299999999999996,22.0,36.0,1,0
21684,2015-10-23,11500109,Final,1610612759,1610612745,2015,1610612759,111.0,0.513,0.69,0.45799999999999996,26.0,46.0,1610612745,86.0,0.386,0.7,0.308,25.0,41.0,1,1
21697,2015-10-20,11500090,Final,1610612759,1610612756,2015,1610612759,84.0,0.44,0.7140000000000001,0.25,22.0,33.0,1610612756,104.0,0.526,0.7859999999999999,0.524,28.0,43.0,0,0
21706,2015-10-18,11500076,Final,1610612759,1610612765,2015,1610612759,96.0,0.45799999999999996,0.909,0.455,18.0,44.0,1610612765,92.0,0.39299999999999996,0.857,0.32,19.0,37.0,1,1
21728,2015-10-14,11500060,Final,1610612737,1610612759,2015,1610612737,100.0,0.41,0.862,0.355,24.0,48.0,1610612759,86.0,0.32899999999999996,0.778,0.2,17.0,50.0,1,0
21739,2015-10-12,11500049,Final,1610612748,1610612759,2015,1610612748,97.0,0.384,0.897,0.20800000000000002,17.0,49.0,1610612759,94.0,0.424,0.75,0.2,19.0,44.0,1,0
21756,2015-10-08,11500027,Final,1610612758,1610612759,2015,1610612758,95.0,0.455,0.833,0.25,26.0,47.0,1610612759,92.0,0.4320000000000001,0.722,0.375,19.0,38.0,1,0
