,Vteam,Hteam,WLoc,WTeam,LTeam
0,New Orleans Pelicans,Toronto Raptors,H,Toronto Raptors,New Orleans Pelicans
1,Los Angeles Lakers,Los Angeles Clippers,H,Los Angeles Clippers,Los Angeles Lakers
2,Chicago Bulls,Charlotte Hornets,H,Charlotte Hornets,Chicago Bulls
3,Detroit Pistons,Indiana Pacers,V,Detroit Pistons,Indiana Pacers
4,Cleveland Cavaliers,Orlando Magic,H,Orlando Magic,Cleveland Cavaliers
5,Minnesota Timberwolves,Brooklyn Nets,V,Minnesota Timberwolves,Brooklyn Nets
6,Memphis Grizzlies,Miami Heat,H,Miami Heat,Memphis Grizzlies
7,Boston Celtics,Philadelphia 76ers,V,Boston Celtics,Philadelphia 76ers
8,Washington Wizards,Dallas Mavericks,H,Dallas Mavericks,Washington Wizards
9,New York Knicks,San Antonio Spurs,H,San Antonio Spurs,New York Knicks
10,Oklahoma City Thunder,Utah Jazz,V,Oklahoma City Thunder,Utah Jazz
11,Denver Nuggets,Portland Trail Blazers,V,Denver Nuggets,Portland Trail Blazers
12,Sacramento Kings,Phoenix Suns,V,Sacramento Kings,Phoenix Suns
13,Atlanta Hawks,Detroit Pistons,V,Atlanta Hawks,Detroit Pistons
14,Milwaukee Bucks,Houston Rockets,V,Milwaukee Bucks,Houston Rockets
15,Los Angeles Clippers,Golden State Warriors,V,Los Angeles Clippers,Golden State Warriors
16,Toronto Raptors,Boston Celtics,H,Boston Celtics,Toronto Raptors
17,Minnesota Timberwolves,Charlotte Hornets,H,Charlotte Hornets,Minnesota Timberwolves
18,New York Knicks,Brooklyn Nets,H,Brooklyn Nets,New York Knicks
19,Chicago Bulls,Memphis Grizzlies,V,Chicago Bulls,Memphis Grizzlies
20,Dallas Mavericks,New Orleans Pelicans,V,Dallas Mavericks,New Orleans Pelicans
21,Washington Wizards,Oklahoma City Thunder,V,Washington Wizards,Oklahoma City Thunder
22,Phoenix Suns,Denver Nuggets,H,Denver Nuggets,Phoenix Suns
23,Portland Trail Blazers,Sacramento Kings,V,Portland Trail Blazers,Sacramento Kings
24,Utah Jazz,Los Angeles Lakers,H,Los Angeles Lakers,Utah Jazz
25,Miami Heat,Milwaukee Bucks,V,Miami Heat,Milwaukee Bucks
26,Philadelphia 76ers,Detroit Pistons,V,Philadelphia 76ers,Detroit Pistons
27,Orlando Magic,Atlanta Hawks,V,Orlando Magic,Atlanta Hawks
28,Boston Celtics,New York Knicks,H,New York Knicks,Boston Celtics
29,Toronto Raptors,Chicago Bulls,H,Chicago Bulls,Toronto Raptors
30,Indiana Pacers,Cleveland Cavaliers,V,Indiana Pacers,Cleveland Cavaliers
31,New Orleans Pelicans,Houston Rockets,H,Houston Rockets,New Orleans Pelicans
32,Washington Wizards,San Antonio Spurs,H,San Antonio Spurs,Washington Wizards
33,Sacramento Kings,Utah Jazz,V,Sacramento Kings,Utah Jazz
34,Los Angeles Clippers,Phoenix Suns,H,Phoenix Suns,Los Angeles Clippers
35,Golden State Warriors,Oklahoma City Thunder,V,Golden State Warriors,Oklahoma City Thunder
36,Brooklyn Nets,Memphis Grizzlies,H,Memphis Grizzlies,Brooklyn Nets
37,Portland Trail Blazers,Dallas Mavericks,V,Portland Trail Blazers,Dallas Mavericks
38,Miami Heat,Minnesota Timberwolves,H,Minnesota Timberwolves,Miami Heat
39,Charlotte Hornets,Los Angeles Lakers,H,Los Angeles Lakers,Charlotte Hornets
40,Indiana Pacers,Detroit Pistons,H,Detroit Pistons,Indiana Pacers
41,Chicago Bulls,New York Knicks,V,Chicago Bulls,New York Knicks
42,Philadelphia 76ers,Atlanta Hawks,V,Philadelphia 76ers,Atlanta Hawks
43,Orlando Magic,Toronto Raptors,V,Orlando Magic,Toronto Raptors
44,Cleveland Cavaliers,Milwaukee Bucks,H,Milwaukee Bucks,Cleveland Cavaliers
45,Golden State Warriors,New Orleans Pelicans,V,Golden State Warriors,New Orleans Pelicans
46,Oklahoma City Thunder,Houston Rockets,H,Houston Rockets,Oklahoma City Thunder
47,Portland Trail Blazers,San Antonio Spurs,H,San Antonio Spurs,Portland Trail Blazers
48,Utah Jazz,Phoenix Suns,V,Utah Jazz,Phoenix Suns
49,Denver Nuggets,Sacramento Kings,H,Sacramento Kings,Denver Nuggets
50,Charlotte Hornets,Los Angeles Clippers,V,Charlotte Hornets,Los Angeles Clippers
51,Atlanta Hawks,Miami Heat,V,Atlanta Hawks,Miami Heat
52,Dallas Mavericks,Denver Nuggets,V,Dallas Mavericks,Denver Nuggets
53,Memphis Grizzlies,Los Angeles Lakers,V,Memphis Grizzlies,Los Angeles Lakers
54,Minnesota Timberwolves,Philadelphia 76ers,V,Minnesota Timberwolves,Philadelphia 76ers
55,New York Knicks,Orlando Magic,H,Orlando Magic,New York Knicks
56,Chicago Bulls,Cleveland Cavaliers,H,Cleveland Cavaliers,Chicago Bulls
57,Indiana Pacers,Brooklyn Nets,V,Indiana Pacers,Brooklyn Nets
58,Milwaukee Bucks,Boston Celtics,H,Boston Celtics,Milwaukee Bucks
59,Detroit Pistons,Toronto Raptors,H,Toronto Raptors,Detroit Pistons
60,Portland Trail Blazers,Oklahoma City Thunder,H,Oklahoma City Thunder,Portland Trail Blazers
61,Houston Rockets,Washington Wizards,V,Houston Rockets,Washington Wizards
62,Charlotte Hornets,Sacramento Kings,V,Charlotte Hornets,Sacramento Kings
63,Los Angeles Clippers,Utah Jazz,V,Los Angeles Clippers,Utah Jazz
64,Phoenix Suns,Golden State Warriors,V,Phoenix Suns,Golden State Warriors
65,Miami Heat,Atlanta Hawks,H,Atlanta Hawks,Miami Heat
66,Denver Nuggets,New Orleans Pelicans,H,New Orleans Pelicans,Denver Nuggets
67,San Antonio Spurs,Los Angeles Clippers,V,San Antonio Spurs,Los Angeles Clippers
69,Miami Heat,Los Angeles Lakers,H,Los Angeles Lakers,Miami Heat
70,Los Angeles Lakers,Miami Heat,H,Miami Heat,Los Angeles Lakers
71,Los Angeles Lakers,Miami Heat,H,Miami Heat,Los Angeles Lakers
72,Miami Heat,Los Angeles Lakers,V,Miami Heat,Los Angeles Lakers
73,Los Angeles Lakers,Miami Heat,H,Miami Heat,Los Angeles Lakers
0,Houston Rockets,Brooklyn Nets,H,Brooklyn Nets,Houston Rockets
1,Cleveland Cavaliers,Indiana Pacers,H,Indiana Pacers,Cleveland Cavaliers
2,Milwaukee Bucks,Orlando Magic,V,Milwaukee Bucks,Orlando Magic
3,New York Knicks,Boston Celtics,H,Boston Celtics,New York Knicks
4,Detroit Pistons,Chicago Bulls,H,Chicago Bulls,Detroit Pistons
5,Los Angeles Lakers,Dallas Mavericks,V,Los Angeles Lakers,Dallas Mavericks
6,Utah Jazz,Sacramento Kings,H,Sacramento Kings,Utah Jazz
7,San Antonio Spurs,Golden State Warriors,V,San Antonio Spurs,Golden State Warriors
