win,lose,probability
Toronto Raptors,New Orleans Pelicans,0.8627525108867021
Los Angeles Clippers,Los Angeles Lakers,0.6891661721954714
Charlotte Hornets,Chicago Bulls,0.6767170921761518
Indiana Pacers,Detroit Pistons,0.6324072547601565
Orlando Magic,Cleveland Cavaliers,0.828821762292595
Brooklyn Nets,Minnesota Timberwolves,0.655584952313472
Miami Heat,Memphis Grizzlies,0.6314202834834727
Philadelphia 76ers,Boston Celtics,0.6754335302761124
Dallas Mavericks,Washington Wizards,0.6557885930299467
San Antonio Spurs,New York Knicks,0.7868008568063938
Utah Jazz,Oklahoma City Thunder,0.5827715225509785
Portland Trail Blazers,Denver Nuggets,0.5999131825037819
Sacramento Kings,Phoenix Suns,0.5319983760224007
Detroit Pistons,Atlanta Hawks,0.7116985068685008
Houston Rockets,Milwaukee Bucks,0.5914311051341967
Golden State Warriors,Los Angeles Clippers,0.7252689281975732
Toronto Raptors,Boston Celtics,0.5806555102641882
Charlotte Hornets,Minnesota Timberwolves,0.6547166381232421
Brooklyn Nets,New York Knicks,0.7039153623592175
Memphis Grizzlies,Chicago Bulls,0.7031719947849024
New Orleans Pelicans,Dallas Mavericks,0.5067372511913544
Oklahoma City Thunder,Washington Wizards,0.8301030169479378
Denver Nuggets,Phoenix Suns,0.8265404145296328
Portland Trail Blazers,Sacramento Kings,0.5212400704875289
Utah Jazz,Los Angeles Lakers,0.5289158197952545
Milwaukee Bucks,Miami Heat,0.7386208119192311
Detroit Pistons,Philadelphia 76ers,0.5002474408709714
Orlando Magic,Atlanta Hawks,0.5755513359768725
Boston Celtics,New York Knicks,0.6221687182399771
Toronto Raptors,Chicago Bulls,0.7605682395341185
Indiana Pacers,Cleveland Cavaliers,0.5724812921689817
Houston Rockets,New Orleans Pelicans,0.8128446295835179
San Antonio Spurs,Washington Wizards,0.7744076576258536
Utah Jazz,Sacramento Kings,0.7450525454462176
Los Angeles Clippers,Phoenix Suns,0.6349134715657383
Oklahoma City Thunder,Golden State Warriors,0.5721324072137935
Memphis Grizzlies,Brooklyn Nets,0.6731764365664548
Portland Trail Blazers,Dallas Mavericks,0.5588164949005147
Minnesota Timberwolves,Miami Heat,0.535218471816166
Los Angeles Lakers,Charlotte Hornets,0.6292437287334841
Detroit Pistons,Indiana Pacers,0.6262267209109793
New York Knicks,Chicago Bulls,0.5258595185459018
Philadelphia 76ers,Atlanta Hawks,0.5823715563677219
Toronto Raptors,Orlando Magic,0.6832439099395958
Milwaukee Bucks,Cleveland Cavaliers,0.8292188918673696
Golden State Warriors,New Orleans Pelicans,0.7021752790793068
Houston Rockets,Oklahoma City Thunder,0.5881823732045717
San Antonio Spurs,Portland Trail Blazers,0.5872057917776665
Utah Jazz,Phoenix Suns,0.6744602811619413
Denver Nuggets,Sacramento Kings,0.5112630354088581
Los Angeles Clippers,Charlotte Hornets,0.7294731772616754
Miami Heat,Atlanta Hawks,0.6709019628020326
Denver Nuggets,Dallas Mavericks,0.7049758733577539
Los Angeles Lakers,Memphis Grizzlies,0.6199837636296215
Philadelphia 76ers,Minnesota Timberwolves,0.7749140915782855
Orlando Magic,New York Knicks,0.8435046879752777
Cleveland Cavaliers,Chicago Bulls,0.5506503175192465
Brooklyn Nets,Indiana Pacers,0.5615089245417847
Milwaukee Bucks,Boston Celtics,0.5047276457323462
Toronto Raptors,Detroit Pistons,0.7826239799524792
Oklahoma City Thunder,Portland Trail Blazers,0.6693872181531784
Houston Rockets,Washington Wizards,0.639482512003232
Sacramento Kings,Charlotte Hornets,0.6230966080594297
Utah Jazz,Los Angeles Clippers,0.6563818326842903
Golden State Warriors,Phoenix Suns,0.8821226160363357
Atlanta Hawks,Miami Heat,0.5381141048708183
Denver Nuggets,New Orleans Pelicans,0.5993765480190247
Los Angeles Clippers,San Antonio Spurs,0.6218792908956232
Los Angeles Lakers,Miami Heat,0.5612024045060181
Miami Heat,Los Angeles Lakers,0.5943751016549019
Miami Heat,Los Angeles Lakers,0.5943751016549019
Los Angeles Lakers,Miami Heat,0.5612024045060181
Miami Heat,Los Angeles Lakers,0.5943751016549019
Houston Rockets,Brooklyn Nets,0.5366917031401195
Indiana Pacers,Cleveland Cavaliers,0.7366896266059346
Orlando Magic,Milwaukee Bucks,0.6340489776401522
Boston Celtics,New York Knicks,0.7532462941448587
Detroit Pistons,Chicago Bulls,0.5763593647684746
Dallas Mavericks,Los Angeles Lakers,0.5388307732203991
Utah Jazz,Sacramento Kings,0.5354537957458654
Golden State Warriors,San Antonio Spurs,0.7203147258151888
Oklahoma City Thunder,New Orleans Pelicans,0.8351452239784191
Detroit Pistons,Brooklyn Nets,0.7050539794046855
Orlando Magic,Denver Nuggets,0.6837736611971535
Memphis Grizzlies,Phoenix Suns,0.767194746793584
Milwaukee Bucks,Toronto Raptors,0.5611608523238883
Washington Wizards,Minnesota Timberwolves,0.5541845659048353
Golden State Warriors,Charlotte Hornets,0.8085231044329126
Portland Trail Blazers,Philadelphia 76ers,0.546038272447458
Indiana Pacers,Chicago Bulls,0.7335343056349529
Houston Rockets,Miami Heat,0.5174020986197383
Sacramento Kings,New York Knicks,0.5456550840297385
San Antonio Spurs,Los Angeles Lakers,0.6779622640382705
Dallas Mavericks,Cleveland Cavaliers,0.5391222200695622
Los Angeles Clippers,Utah Jazz,0.5859348045218912
Detroit Pistons,Washington Wizards,0.5383221497451968
Brooklyn Nets,New Orleans Pelicans,0.696316079966941
Houston Rockets,Memphis Grizzlies,0.5067874003412027
Milwaukee Bucks,Minnesota Timberwolves,0.585471684336234
Philadelphia 76ers,Phoenix Suns,0.7009575306912257
Golden State Warriors,Portland Trail Blazers,0.7011369908912384
Charlotte Hornets,Indiana Pacers,0.5605624125180646
Boston Celtics,Cleveland Cavaliers,0.59844627454901
San Antonio Spurs,Atlanta Hawks,0.5146797006502585
Los Angeles Lakers,Chicago Bulls,0.5684810436434591
Oklahoma City Thunder,Orlando Magic,0.6348124326750718
Denver Nuggets,Miami Heat,0.6695454224341107
Detroit Pistons,New York Knicks,0.7567213578100549
Indiana Pacers,Washington Wizards,0.7433956824657351
Atlanta Hawks,Chicago Bulls,0.6632558553951844
Houston Rockets,Golden State Warriors,0.5341011836034875
Toronto Raptors,Sacramento Kings,0.8122098680909203
Memphis Grizzlies,Minnesota Timberwolves,0.6821262096114241
Orlando Magic,Dallas Mavericks,0.5960074243043789
Utah Jazz,Philadelphia 76ers,0.5863033286520491
Los Angeles Clippers,Milwaukee Bucks,0.5554304439950005
Charlotte Hornets,Boston Celtics,0.5340550625698964
San Antonio Spurs,Oklahoma City Thunder,0.5392708500010086
Miami Heat,Phoenix Suns,0.5906353362397045
Los Angeles Clippers,Portland Trail Blazers,0.5997028716963911
Indiana Pacers,Detroit Pistons,0.6324072547601565
